Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
February,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0
March,3250,2665,2502,2556,2890,2129,1452,1427,967,665,1035,714,643,676,407,152,330,264,207,134,83,52,50,65,46,46,29,34,11,5,12
April,6032,4076,3996,4310,4463,4913,5386,4583,4451,4301,4676,5850,5526,5599,4618,4605,5252,4342,5288,5234,5706,4675,5865,3888,4143,6199,4000,4672,4522,4567,4567
May,1936,2445,2095,1887,2013,2004,1625,2409,2959,3287,2615,2472,2412,2684,3562,3451,3560,3446,3242,3403,3877,3923,3896,4649,5614,6111,4406,3985,4339,4806,6201
June,689,815,901,890,1006,1118,653,874,958,1221,1295,1346,1218,1115,1279,1056,1514,1425,1541,1266,1003,1387,1205,1326,1557,1650,1805,1871,1613,1570,1570
July,880,846,763,581,685,745,767,768,769,560,445,557,726,827,687,642,538,398,530,650,820,512,642,630,581,343,516,624,544,576,829
August,1406,1715,1108,1276,1522,1048,1184,853,1160,1288,1033,1182,812,1089,713,1040,1077,1441,1129,1009,1148,740,1062,758,871,950,892,670,898,744,761
September,7108,7143,4044,5693,6042,6874,6634,6178,4926,4368,3899,4422,4322,3395,3991,3105,2621,3330,3497,3539,2919,2659,2460,2948,2988,1813,1940,1735,1508,1295,1295
October,21915,24405,23065,24701,22885,20890,19790,23012,20530,21242,26688,21331,18804,16982,16171,15650,18980,19724,17234,13972,12872,15166,13864,17540,14162,14542,12594,22961,12872,6968,6914
November,12330,12155,15871,16022,17555,18213,11299,15450,18662,19875,20252,22915,19609,20051,21363,24962,26860,27301,33470,22950,20412,21350,20572,24957,23287,24141,25177,20018,18950,23254,23254
December,55892,50023,53135,41385,30501,35691,32725,39877,39237,36804,33364,35928,27052,28507,35383,25161,18450,20263,18447,21502,21672,20964,16578,12282,14718,17272,15539,16298,14879,16170,13430